策划备注名,星盘等级,阶段名,介绍,页数,玩家等级,坐标,类型,花费（灵力）,生命,攻击,防御,魂力,暴击等级,格挡等级
,star_level,name,desc,page,user_level,coordinate,type,expend,hp,attack,defense,soul,crit,parray
,1,驼鹿之力一星,,1,1,31|51,1,200,50,0,0,0,0,0
,2,驼鹿之力二星,,1,1,24|110,1,220,50,5,0,0,0,0
,3,驼鹿之力三星,,1,1,71|87,1,240,50,5,5,0,0,0
,4,驼鹿之力四星,,1,1,124|80,1,260,50,5,5,0,0,5
,5,驼鹿之力五星,,1,1,188|90,1,280,50,5,5,0,5,5
,6,驼鹿之力六星,,1,1,222|126,1,300,50,5,5,1,5,5
,7,驼鹿之力七星,,1,1,227|198,1,320,150,5,5,1,5,5
,8,驼鹿之力八星,,1,1,171|203,1,340,150,15,5,1,5,5
,9,驼鹿之力九星,,1,1,181|140,1,360,150,15,15,1,5,5
,10,驼鹿之力十星,,1,1,132|149,1,380,150,15,15,1,5,15
,11,驼鹿之力十一星,,1,1,103|206,1,400,150,15,15,1,15,15
,12,驼鹿之力十二星,,1,1,71|131,2,420,150,15,15,3,15,15
,13,蛮牛之力一星,,2,1,9|105,1,336,250,15,15,3,15,15
,14,蛮牛之力二星,,2,1,46|115,1,370,250,25,15,3,15,15
,15,蛮牛之力三星,,2,1,88|67,1,403,250,25,25,3,15,15
,16,蛮牛之力四星,,2,1,136|86,1,437,250,25,25,3,15,25
,17,蛮牛之力五星,,2,1,180|109,1,470,250,25,25,3,25,25
,18,蛮牛之力六星,,2,1,224|125,1,504,250,25,25,5,25,25
,19,蛮牛之力七星,,2,1,246|191,1,538,400,25,25,5,25,25
,20,蛮牛之力八星,,2,1,193|167,1,571,400,40,25,5,25,25
,21,蛮牛之力九星,,2,1,145|155,1,605,400,40,40,5,25,25
,22,蛮牛之力十星,,2,1,140|189,1,638,400,40,40,5,25,40
,23,蛮牛之力十一星,,2,1,95|179,1,672,400,40,40,5,40,40
,24,蛮牛之力十二星,,2,1,78|133,2,706,400,40,40,8,40,40
,25,鹰隼之力一星,,3,10,10|100,1,549,550,40,40,8,40,40
,26,鹰隼之力二星,,3,10,75|129,1,604,550,55,40,8,40,40
,27,鹰隼之力三星,,3,10,116|92,1,659,550,55,55,8,40,40
,28,鹰隼之力四星,,3,10,163|68,1,713,550,55,55,8,40,55
,29,鹰隼之力五星,,3,10,210|76,1,768,550,55,55,8,55,55
,30,鹰隼之力六星,,3,10,158|107,1,823,550,55,55,11,55,55
,31,鹰隼之力七星,,3,10,134|151,1,878,750,55,55,11,55,55
,32,鹰隼之力八星,,3,10,172|176,1,933,750,75,55,11,55,55
,33,鹰隼之力九星,,3,10,113|184,1,988,750,75,75,11,55,55
,34,鹰隼之力十星,,3,10,111|224,1,1043,750,75,75,11,55,75
,35,鹰隼之力十一星,,3,10,63|210,1,1098,750,75,75,11,75,75
,36,鹰隼之力十二星,,3,10,66|164,2,1152,750,75,75,15,75,75
,37,獬豸之力一星,,4,20,11|56,1,878,950,75,75,15,75,75
,38,獬豸之力二星,,4,20,39|96,1,966,950,95,75,15,75,75
,39,獬豸之力三星,,4,20,75|74,1,1054,950,95,95,15,75,75
,40,獬豸之力四星,,4,20,120|108,1,1142,950,95,95,15,75,95
,41,獬豸之力五星,,4,20,184|110,1,1229,950,95,95,15,95,95
,42,獬豸之力六星,,4,20,211|154,1,1317,950,95,95,19,95,95
,43,獬豸之力七星,,4,20,236|119,1,1405,1200,95,95,19,95,95
,44,獬豸之力八星,,4,20,206|220,1,1493,1200,120,95,19,95,95
,45,獬豸之力九星,,4,20,153|173,1,1581,1200,120,120,19,95,95
,46,獬豸之力十星,,4,20,109|220,1,1668,1200,120,120,19,95,120
,47,獬豸之力十一星,,4,20,59|201,1,1756,1200,120,120,19,120,120
,48,獬豸之力十二星,,4,20,71|138,2,1844,1200,120,120,24,120,120
,49,奎狼之力一星,,5,30,61|50,1,1383,1450,120,120,24,120,120
,50,奎狼之力二星,,5,30,94|85,1,1521,1450,145,120,24,120,120
,51,奎狼之力三星,,5,30,151|114,1,1660,1450,145,145,24,120,120
,52,奎狼之力四星,,5,30,205|131,1,1798,1450,145,145,24,120,145
,53,奎狼之力五星,,5,30,246|179,1,1936,1450,145,145,24,145,145
,54,奎狼之力六星,,5,30,176|163,1,2074,1450,145,145,29,145,145
,55,奎狼之力七星,,5,30,192|217,1,2213,1750,145,145,29,145,145
,56,奎狼之力八星,,5,30,151|218,1,2351,1750,175,145,29,145,145
,57,奎狼之力九星,,5,30,106|165,1,2489,1750,175,175,29,145,145
,58,奎狼之力十星,,5,30,72|214,1,2628,1750,175,175,29,145,175
,59,奎狼之力十一星,,5,30,49|155,1,2766,1750,175,175,29,175,175
,60,奎狼之力十二星,,5,30,39|95,2,2904,1750,175,175,35,175,175
,61,白虎之力一星,,6,40,38|91,1,2151,2050,175,175,35,175,175
,62,白虎之力二星,,6,40,68|57,1,2366,2050,205,175,35,175,175
,63,白虎之力三星,,6,40,117|61,1,2582,2050,205,205,35,175,175
,64,白虎之力四星,,6,40,148|96,1,2797,2050,205,205,35,175,205
,65,白虎之力五星,,6,40,197|79,1,3012,2050,205,205,35,205,205
,66,白虎之力六星,,6,40,239|148,1,3227,2050,205,205,41,205,205
,67,白虎之力七星,,6,40,203|130,1,3442,2400,205,205,41,205,205
,68,白虎之力八星,,6,40,206|205,1,3657,2400,240,205,41,205,205
,69,白虎之力九星,,6,40,164|218,1,3872,2400,240,240,41,205,205
,70,白虎之力十星,,6,40,140|163,1,4087,2400,240,240,41,205,240
,71,白虎之力十一星,,6,40,80|232,1,4303,2400,240,240,41,240,240
,72,白虎之力十二星,,6,40,87|121,2,4518,2400,240,240,48,240,240
,73,恶蛟之力一星,,7,50,161|227,1,3313,2750,240,240,48,240,240
,74,恶蛟之力二星,,7,50,122|216,1,3644,2750,275,240,48,240,240
,75,恶蛟之力三星,,7,50,74|228,1,3976,2750,275,275,48,240,240
,76,恶蛟之力四星,,7,50,34|207,1,4307,2750,275,275,48,240,275
,77,恶蛟之力五星,,7,50,30|161,1,4638,2750,275,275,48,275,275
,78,恶蛟之力六星,,7,50,80|152,1,4969,2750,275,275,55,275,275
,79,恶蛟之力七星,,7,50,126|157,1,5301,3150,275,275,55,275,275
,80,恶蛟之力八星,,7,50,161|133,1,5632,3150,315,275,55,275,275
,81,恶蛟之力九星,,7,50,132|98,1,5963,3150,315,315,55,275,275
,82,恶蛟之力十星,,7,50,94|81,1,6295,3150,315,315,55,275,315
,83,恶蛟之力十一星,,7,50,144|49,1,6626,3150,315,315,55,315,315
,84,恶蛟之力十二星,,7,50,97|16,2,6957,3150,315,315,63,315,315
,85,麒麟之力一星,,8,60,53|41,1,5060,3550,315,315,63,315,315
,86,麒麟之力二星,,8,60,29|86,1,5566,3550,355,315,63,315,315
,87,麒麟之力三星,,8,60,79|79,1,6072,3550,355,355,63,315,315
,88,麒麟之力四星,,8,60,100|142,1,6578,3550,355,355,63,315,355
,89,麒麟之力五星,,8,60,155|144,1,7084,3550,355,355,63,355,355
,90,麒麟之力六星,,8,60,221|179,1,7590,3550,355,355,71,355,355
,91,麒麟之力七星,,8,60,156|185,1,8096,4000,355,355,71,355,355
,92,麒麟之力八星,,8,60,164|226,1,8602,4000,400,355,71,355,355
,93,麒麟之力九星,,8,60,114|219,1,9108,4000,400,400,71,355,355
,94,麒麟之力十星,,8,60,86|180,1,9614,4000,400,400,71,355,400
,95,麒麟之力十一星,,8,60,58|227,1,10120,4000,400,400,71,400,400
,96,麒麟之力十二星,,8,60,40|135,2,10626,4000,400,400,80,400,400
,97,青龙之力一星,,9,70,102|247,1,7674,4450,400,400,80,400,400
,98,青龙之力二星,,9,70,50|224,1,8442,4450,445,400,80,400,400
,99,青龙之力三星,,9,70,63|167,1,9209,4450,445,445,80,400,400
,100,青龙之力四星,,9,70,143|134,1,9976,4450,445,445,80,400,445
,101,青龙之力五星,,9,70,182|179,1,10744,4450,445,445,80,445,445
,102,青龙之力六星,,9,70,151|210,1,11511,4450,445,445,89,445,445
,103,青龙之力七星,,9,70,111|177,1,12279,4950,445,445,89,445,445
,104,青龙之力八星,,9,70,89|120,1,13046,4950,495,445,89,445,445
,105,青龙之力九星,,9,70,120|82,1,13813,4950,495,495,89,445,445
,106,青龙之力十星,,9,70,148|46,1,14581,4950,495,495,89,445,495
,107,青龙之力十一星,,9,70,100|26,1,15348,4950,495,495,89,495,495
,108,青龙之力十二星,,9,70,56|49,2,16116,4950,495,495,99,495,495
,,,,,,,,,5450,495,495,99,495,495
,,,,,,,,,5450,545,495,99,495,495
,,,,,,,,,5450,545,545,99,495,495
,,,,,,,,,5450,545,545,99,495,545
,,,,,,,,,5450,545,545,99,545,545
,,,,,,,,,5450,545,545,109,545,545
,,,,,,,,,6000,545,545,109,545,545
,,,,,,,,,6000,600,545,109,545,545
,,,,,,,,,6000,600,600,109,545,545
,,,,,,,,,6000,600,600,109,545,600
,,,,,,,,,6000,600,600,109,600,600
,,,,,,,,,6000,600,600,120,600,600
,,,,,,,,,6550,600,600,120,600,600
,,,,,,,,,6550,655,600,120,600,600
,,,,,,,,,6550,655,655,120,600,600
,,,,,,,,,6550,655,655,120,600,655
,,,,,,,,,6550,655,655,120,655,655
,,,,,,,,,6550,655,655,131,655,655
,,,,,,,,,7150,655,655,131,655,655
,,,,,,,,,7150,715,655,131,655,655
,,,,,,,,,7150,715,715,131,655,655
,,,,,,,,,7150,715,715,131,655,715
,,,,,,,,,7150,715,715,131,715,715
,,,,,,,,,7150,715,715,143,715,715
,,,,,,,,,7750,715,715,143,715,715
,,,,,,,,,7750,775,715,143,715,715
,,,,,,,,,7750,775,775,143,715,715
,,,,,,,,,7750,775,775,143,715,775
,,,,,,,,,7750,775,775,143,775,775
,,,,,,,,,7750,775,775,155,775,775
,,,,,,,,,8400,775,775,155,775,775
,,,,,,,,,8400,840,775,155,775,775
,,,,,,,,,8400,840,840,155,775,775
,,,,,,,,,8400,840,840,155,775,840
,,,,,,,,,8400,840,840,155,840,840
,,,,,,,,,8400,840,840,168,840,840
,,,,,,,,,9050,840,840,168,840,840
,,,,,,,,,9050,905,840,168,840,840
,,,,,,,,,9050,905,905,168,840,840
,,,,,,,,,9050,905,905,168,840,905
,,,,,,,,,9050,905,905,168,905,905
,,,,,,,,,9050,905,905,181,905,905
,,,,,,,,,9750,905,905,181,905,905
,,,,,,,,,9750,975,905,181,905,905
,,,,,,,,,9750,975,975,181,905,905
,,,,,,,,,9750,975,975,181,905,975
,,,,,,,,,9750,975,975,181,975,975
,,,,,,,,,9750,975,975,195,975,975
,,,,,,,,,10450,975,975,195,975,975
,,,,,,,,,10450,1045,975,195,975,975
,,,,,,,,,10450,1045,1045,195,975,975
,,,,,,,,,10450,1045,1045,195,975,1045
,,,,,,,,,10450,1045,1045,195,1045,1045
,,,,,,,,,10450,1045,1045,209,1045,1045
,,,,,,,,,11200,1045,1045,209,1045,1045
,,,,,,,,,11200,1120,1045,209,1045,1045
,,,,,,,,,11200,1120,1120,209,1045,1045
,,,,,,,,,11200,1120,1120,209,1045,1120
,,,,,,,,,11200,1120,1120,209,1120,1120
,,,,,,,,,11200,1120,1120,224,1120,1120
,,,,,,,,,#REF!,1120,1120,224,1120,1120
,,,,,,,,,#REF!,#REF!,1120,224,1120,1120
,,,,,,,,,#REF!,#REF!,#REF!,224,1120,1120
,,,,,,,,,#REF!,#REF!,#REF!,224,1120,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,224,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
