→强化花费ID,↓强化等级,ID1,ID2,ID3,ID4,ID5,ID6
strengthenID,strengthen_level,1,2,3,4,5,6
强化1级花费,1,316,632,948,1264,1580,1896
强化2级花费,2,632,1264,1896,2528,3160,3792
强化3级花费,3,1264,2528,3792,5056,6320,7584
强化4级花费,4,2528,5056,7584,10112,12640,15168
强化5级花费,5,5056,10112,15168,20224,25280,30336
强化6级花费,6,10112,20224,30336,40448,50560,60672
强化7级花费,7,20224,40448,60672,80896,101120,121344
强化8级花费,8,40448,80896,121344,161792,202240,242688
强化9级花费,9,80896,161792,242688,323584,404480,485376
强化10级花费,10,161792,323584,485376,647168,808960,970752
强化11级花费,11,323584,647168,970752,1294336,1617920,1941504
强化12级花费,12,647168,1294336,1941504,2588672,3235840,3883008
强化13级花费,13,1294336,2588672,3883008,5177344,6471680,7766016
强化14级花费,14,2588672,5177344,7766016,10354688,12943360,15532032
强化15级花费,15,5177344,10354688,15532032,20709376,25886720,31064064
